step,section_0_reward,section_1_reward,section_2_reward,section_0_payload,section_1_payload,section_2_payload
303,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
304,0.0,0.0,26.243611315872556,534.5427414141409,485.8143928571428,509.5501307880672
305,0.0,118.31239285714355,0.0,534.5427414141409,594.1267857142864,493.3065194721946
306,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
307,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
308,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
309,0.0,0.0,26.243611315872556,534.5427414141409,485.8143928571428,509.5501307880672
310,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
311,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
312,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
313,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
314,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
315,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
316,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
317,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
318,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
319,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
320,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
321,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
322,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
323,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
324,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
325,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
326,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
327,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
328,0.0,10.0,0.0,534.5427414141409,485.8143928571428,509.5501307880672
329,0.0,118.31239285714355,0.0,534.5427414141409,594.1267857142864,493.3065194721946
330,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
331,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
332,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
333,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
334,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
335,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
336,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
337,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
338,0.0,0.0,51.157154337329075,534.5427414141409,485.8993928571428,534.4636738095237
339,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
340,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
341,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
342,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
343,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
344,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
345,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
346,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
347,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
348,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
349,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
350,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
351,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
352,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
353,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
354,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
355,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
356,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
357,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
358,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
359,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
360,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
361,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
362,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
363,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
364,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
